pmid,title,abstract,year,journal,doi,authors
41160023,Postacute Care Use and Outcomes Among Medicare Advantage vs Traditional Medicare Beneficiaries.,"Postacute care expenditures exceed $57.3 billion annually for traditional Medicare (TM) and drive regional spending variation. Medicare Advantage (MA) plans, with financial incentives to optimize postacute care, offer a compelling alternative. With more than half of Medicare beneficiaries now enrolled in MA, understanding postacute care use and outcomes across these groups is increasingly critical for policy and practice.",2025,JAMA network open,10.1001/jamanetworkopen.2025.40347,Indrakshi Roy; Franya Hutchins; Liam Rose; Song Zhong; Syama R Patel; Amit Kumar; Rachel M Werner; Robert E Burke
41159520,Effect of home exercise programs in patients with non-tears rotator cuff-related shoulder pain: a systematic review and meta-analysis.,"Conservative treatment based on physiotherapy is the first option for non-tears rotator cuff related shoulder pain (RCSP). Although several studies demonstrate the positive effect of therapeutic exercise, aspects such as the influence of supervised exercises versus home-self training or the level of adherence are still unclear. The objective is to study the effect of home exercise programs compared to supervised exercise, either alone or combined with standard physiotherapy treatment.",2025,European journal of physical and rehabilitation medicine,10.23736/S1973-9087.25.08607-1,Sergio Hernández-Sánchez; José V Segura-Heras; Paula Andreu-Conde; Manuel Albornoz-Cabello; Luis Espejo-Antúnez; José V Toledo-Marhuenda
41159223,Introduction to XIV updating course of antimicrobials and infectious diseases.,,2025,Revista espanola de quimioterapia : publicacion oficial de la Sociedad Espanola de Quimioterapia,10.37201/req/s01.00.2025,Francisco Javier Candel; Mayra Matesanz
41151075,Two Gateways to Understanding the Health Workforce: Insights From Working With Organizational and Population-Level Data.,"Advancements in health workforce research depend on access to timely, detailed, and practically oriented data. Yet researchers in this field often encounter barriers to data access, which impacts the research that we are able to conduct. In this article, we share insights as researchers who have studied health workforces through a range of data sources accessed across traditional academic and embedded scientist roles. We concentrate on unique opportunities and limitations from two experiences: (1) use of Statistics Canada surveys as part of university-based studies and (2) health organization administrative data as embedded homecare scientists at VHA Home HealthCare. Collectively, these complementary data sources contribute to providing a more comprehensive advancement of our understanding of personal support workers in Canada. We hope that sharing insights from these experiences provides inspiration and guidance to others who want to pursue a similar path in health workforce research.",2025,Healthcare management forum,10.1177/08404704251361919,Katherine A P Zagrodney; Emily C King; Sandra M McKay
41149458,Parents' Experiences and Clinicians' Perceptions of Managing Cancer Pain in Young Children at Home.,"Pain is a prevalent and distressing symptom for children with cancer, negatively affecting quality of life and family functioning. While most research focuses on hospital-based care, many pain episodes occur at home, where parents act as primary caregivers with limited access to evidence-based symptom management. Young children are particularly vulnerable due to limited self-reporting capacity and reliance on parental assessment. We aimed to explore parent experiences and pediatric oncology clinician perceptions of young children's cancer pain at home, its impact on families, and recommended supports.",2025,"Current oncology (Toronto, Ont.)",10.3390/curroncol32100538,Lindsay A Jibb; Elham Hashemi; Surabhi Sivaratnam; Aimee K Hildenbrand; Paul C Nathan; Julie Chartrand; Nicole M Alberts; Tatenda Masama; Hannah G Pease; Lessley B Torres; Haydee G Cortes; Mallory Zworth; Susan Kuczynski; Michelle A Fortier
41148662,Outpatient Parenteral Antimicrobial Therapy in a Tertiary Hospital in France: A Description of Service Models and Costs.,,2025,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14100971,Espérie Burnet; Alicia Le Bras; Guillaume Roucoux; Christian Dupont; Etienne Canouï; Clément Leclaire; Jérémie Zerbit; Pierre Régis Burgel; Clémence Martin; Isabelle Durand-Zaleski; Martin Duracinsky
41148358,Indications for home mechanical ventilation in children: changes over four decades.,"Home mechanical ventilation (HMV) has been used for more than 40 years in the Netherlands. With this retrospective single-center study, we aimed to evaluate the demographics of children supported by HMV and changes in indications and type of support. We retrieved relevant data of all patients younger than 19 years who started HMV between 1979 and 2023 from a prospective database and from medical notes. A total of 544 children started with HMV (median age 13.1 years (IQR 5-16)). After a rapid increase between 1979 and 2017, the number of children treated with HMV stabilized. Nearly 40% of patients started HMV unplanned, because of failed weaning off the ventilator after surgery or an infection. Thirty percent of all children started with invasive ventilation. A majority of patients had a neuromuscular disorder (NMD) (n = 305, 56%) or a genetic syndrome (n = 85, 16%). The relative contribution of other diseases than NMDs increased in the 21th century. The relative number of patients younger than 5 years using HMV increased significantly over the years, from 13% in 1989-1998 to 30% in 2014-2022. This increase was even more pronounced for children using non-invasive ventilation (NIV), i.e. < 4% till 2003 and 30% in 2019-2022.",2025,European journal of pediatrics,10.1007/s00431-025-06559-x,Laura Verweij van den Oudenrijn; Michael Gaytant; Lieke Arts; Peter Wijkstra; W Ludo van der Pol; Esther Veldhoen
41143665,Bridging boundaries: a research consortium to advance hospital-at-home care delivery.,"The COVID-19 pandemic accelerated the adoption of the hospital at home (HAH) model, driven by the 2020 CMS Acute Hospital Care at Home waiver that removed financial barriers to reimbursement. With more than 330 hospitals across 130 health systems implementing HAH, this care model offers promising outcomes and experiences while addressing rising health care costs and an aging population. However, further research is needed to define its scalability, appropriate patient populations, and long-term viability. To address these gaps, Cleveland Clinic and Mayo Clinic established the Cleveland Clinic-Mayo Clinic (CCMC) Home-Based Care Research Consortium. The consortium focuses on creating a national registry, standardizing data, and developing evidence-based care pathways to evaluate the impact of HAH on patient safety, outcomes, and costs. Additionally, it aims to identify which populations and conditions can benefit most, ensuring equitable and high-quality care delivery. The consortium also prioritizes caregiver well-being, exploring virtual and hybrid models to address workforce challenges and enhance provider satisfaction. Recognizing health equity as essential, it emphasizes enrolling diverse populations and collaborating with community organizations to address social determinants of health. The consortium will also focus on true cost savings, workforce efficiency, and integration with home-based care programs, taking into account recent advances in technology and artificial intelligence. By fostering collaboration and rigorous research, the CCMC Consortium seeks to refine HAH into a scalable, sustainable, and equitable care model that meets the evolving demands of modern health care.",2025,The American journal of managed care,10.37765/ajmc.2025.89809,Jessica A Hohman; Richard D Rothman; Michael J Maniaci
41143560,Perspectives of stroke survivors and informal caregivers on home-based mental practice for upper limb recovery after stroke: a qualitative co-design study.,"In this qualitative study, we explored the views of stroke survivors and informal caregivers regarding three types of mental practice for upper limb recovery: (1) action observation (AO); (2) motor imagery (MI); and (3) combined action observation and motor imagery (AO + MI). Semi-structured interviews and focus groups were conducted between December 2021 and October 2022 with 23 participants (13 caregivers and 10 stroke survivors).Thematic analysis generated three higher-order themes: ",2025,Neuropsychological rehabilitation,10.1080/09602011.2025.2577376,Dan Lin; Daniel Lloyd Eaves; Tom Gibbons; Maria Raisa Jessica Ryc Aquino; Martin Gareth Edwards; Ellen Poliakoff; Judith Bek; Jonathan Reyes Emerson
41136346,Quality-of-life factors at home and in health care settings for people living with dementia.,"Person-centered ""home time"" measures track time spent in health care versus home using claims data. These measures can indicate patient preferences, quality of care, or quality of life. However, for people living with dementia, these measures lack input from them and their care partners about the impact of different settings. This study explored quality of life factors for them at home and in health care settings.",2025,The Gerontologist,10.1093/geront/gnaf196,Nathan A Boucher; Justine Seidenfeld; Kevin C McKenna; Alli Bosquet; Sahar Shibeika; Judith S Vick; James R Burke; Brenda L Plassman; Cassandra M Dictus; Megan Shepherd-Banigan; Brystana G Kaufman; Valerie A Smith; S Nicole Hastings; Courtney H Van Houtven
41136083,Home Mechanical Ventilators: Indications for Use in Chronic Respiratory Failure.,"Home mechanical ventilators (HMV) are positive pressure devices that allow patients with chronic respiratory failure to live in the comfort of their own homes. HMV are more advanced than standard respiratory assist devices, providing features including internal and external batteries for daytime use outside the house, unique modes such as volume-assured pressure support with auto expiratory positive airway pressure and mouthpiece ventilation, and more alarms to provide safety for patients with severe disease. The process of prescribing HMV in the United States can be complex.",2025,Sleep medicine clinics,10.1016/j.jsmc.2025.07.004,Jose Victor Jimenez; Philip J Choi
41136078,From Inpatient to Home: Optimizing Transitions of Care for Patients on Long-Term Noninvasive Ventilation.,"Noninvasive ventilation (NIV) is widely accepted as an intervention that helps patients with cardiopulmonary diseases and sleep-related breathing disorders transition from hospital to home. NIV can alleviate symptoms, normalize arterial blood gases, improve health-related quality of life, reduce hospital readmissions, and mortality in certain patient groups. However, reimbursement constraints and the lack of standardized discharge pathways may compromise the effectiveness of this process and the quality of care in this fragile population.",2025,Sleep medicine clinics,10.1016/j.jsmc.2025.07.013,Fernando Figueroa Rodriguez; Alfredo Selim; Bernardo Selim
41132177,Construction of community home-based older adult care service model based on modular design concept.,To address the supply-demand mismatch in community home-based older adult care services amid China's deepening aging population crisis.,2025,Frontiers in public health,10.3389/fpubh.2025.1672918,Xiaohua Zhou; Lina Chen; Xu Lou; Ying Li; Bobo Han
41131522,Palliative care conditions managed at home and self-reported challenges experienced by informal home-based caregivers in Rwanda: a qualitative study.,"A greater dependency on informal home-based caregivers to assist patients in their homes stems from Rwanda's rising palliative care needs and the burden of terminal illnesses. These caregivers play a critical role in addressing patients' physical and emotional needs and assisting with daily activities. However, in low-resource settings like Rwanda, limited attention has been given to understanding their lived experiences and the challenges they face. This study primarily aimed to explore the lived experiences and caregiving challenges of informal home-based caregivers providing palliative care. A secondary aim was to describe the range of life-threatening conditions being managed at home under their care.",2025,BMC palliative care,10.1186/s12904-025-01905-0,Jean Claude Twahirwa; Madeleine Mukeshimana; Margaret Fitch; Godfrey Katende
41131177,The Impact of Coping and Psychological Flexibility on Young Adult Caregivers' Mental Health and Quality of Life.,"As the emphasis on home-based care grows, it is important to understand factors that affect caregivers' quality of life (QOL). Despite the rise of caregiving responsibilities among all demographics, limited literature examines young adult caregivers. The purpose of this study was to 1) examine the difference in mental health (MH) and QOL among young adult caregivers (YAC) and non-caregivers (YANC) and 2) explore how coping and psychological inflexibility moderate the association of caregiver status with MH and QOL. 60 YAC and YANC (age 18-29) were matched via a one-to-one nearest-neighbor propensity score matching with a caliper of 0.1. Participants completed a questionnaire measuring depression and anxiety, QOL, psychological inflexibility, and coping. ANCOVA revealed YAC reported lower physical health-related QOL than YANC (η",2025,The journal of behavioral health services & research,10.1007/s11414-025-09976-w,Alice Ahn; Taylor Eldridge; Debbie Torres; Chelsea Ratcliff
41130682,Prehabilitation of frail elderly PAtients undergoing majoR surgEry at HOME (PREPARE-HOME): a superiority parallel-group randomised controlled trial protocol evaluating smart wearable enhanced prehabilitation versus usual care.,"Frailty is a key predictor of adverse surgical outcomes in older adults, contributing to increased postoperative complications, prolonged hospitalisation and delayed recovery. Prehabilitation-targeting improvements in physical function before surgery-can mitigate these risks. However, traditional programmes often face low adherence due to logistical barriers. Integrating smart wearable devices into tele-supervised, home-based prehabilitation may enhance adherence, engagement and clinical outcomes.This trial protocol describes the PREhabilitation of frail elderly PAtients undergoing majoR surgEry at HOME study with the objective to evaluate the effectiveness of a wearable-enhanced, tele-supervised prehabilitation programme (swSEP) versus standard care (unsupervised prehabilitation, uSEP) on improving preoperative functional capacity and postoperative outcomes in frail older adults undergoing major elective surgery.",2025,BMJ open,10.1136/bmjopen-2024-094986,Yun Hao Leong; Victoria Yu Jia Tay; XinYi Yang; Chun Ju Tan; Phui-Sze Au-Yong; Jacqueline Ling Xiu Sim; Roderica Rui Ge Ng; Marcus Eng Hock Ong; Brenda Pei Yi Tan; Hairil Rizal Abdullah; Yuhe Ke
41127918,Home-based psilocybin-assisted therapy for a patient with advanced cancer: A case report.,"Psychospiritual distress affects many patients with cancer, contributing to diminished quality of life, decreased survival and a desire for hastened death. The current standard of care, which primarily consists of antidepressants and psychotherapy, has demonstrated only modest benefits. Psilocybin-assisted therapy (PAT) has shown evidence of rapid, durable, and significant effects on measures of both depression and anxiety in this patient population.",2025,Palliative & supportive care,10.1017/S1478951525100941,Houman Farzin; Benjamin Koren; Héléna Ferrier; Justin J Sanders; Nicolas Garel
41126447,Hospitalisation Risk Among Danish Older Adults Receiving Municipality Care: An Integrative Review.,"Denmark's increasing elderly population with multiple chronic diseases calls for special attention regarding the risk of hospitalisation. This review aims to address the characteristics of this population and their antecedents with hospitalisation, contributing to the development of tailored interventions that could improve health outcomes and reduce preventable hospitalisations in this vulnerable population.",2025,Scandinavian journal of caring sciences,10.1111/scs.70138,Connie Berthelsen; Mia Ingerslev Loft
41125281,Evaluating home-based personalised virtual reality physiotherapy rehabilitation compared with usual care in the treatment of pain for people with knee osteoarthritis: protocol for a randomised feasibility study.,"Home-based physiotherapy is a current approach to manage knee osteoarthritis (OA). However, adherence to physiotherapy is poor. Non-immersive virtual reality (VR) has shown promise in improving self-efficacy and adherence in other clinical conditions. A non-immersive VR-based home physiotherapy system named Sensor-based Physiotherapy Intervention with Virtual Reality (SPIN-VR) for knee OA has been developed, integrating physiotherapy exercises into engaging games that adjust in difficulty based on real-time performance. This approach aims to enhance exercise adherence by making physiotherapy more enjoyable and personalised. To evaluate the feasibility of this intervention, a randomised controlled trial is being conducted.",2025,BMJ open,10.1136/bmjopen-2025-102994,Mohammad Al-Amri; Samuel Bird; Denise-Teodora Nistor; Judith White; Kate Button; Martin Warner; David Walsh; Dione Shorten; Rose Evans
41124414,Tracheostomy care in the home environment: development of educational videos.,To develop educational videos on tracheostomy care for adults and the elderly in the home environment.,2025,Revista gaucha de enfermagem,10.1590/1983-1447.2025.20240366.en,Jade Alycia Ribeiro E Santos; Francis Jones São Victor de Jesus; Miguir Terezinha Vieccelli Donoso; Maria Célia Barcellos Dalri; Maria Helena Barbosa; Tania Couto Machado Chianca; Luciana Regina Ferreira Pereira da Mata; Aldenora Laísa Paiva de Carvalho Cordeiro
41120099,Impact of Sociodemographics and Home and Community-Based Services on the Wellbeing of Rural Caregivers of Children and Youth With Special Healthcare Needs: An Exploratory Study.,"Caregivers of children and youth with special healthcare needs (CYSHCN) often experience significant challenges accessing home and community-based services (HCBS), resulting in psychological distress, increased burden and decreased caregiver wellbeing. However, little is known about the associations between HCBS access and caregiver wellbeing in rural areas. Therefore, the purpose of this study was to (1) explore the associations between caregiver and child sociodemographic characteristics and HCBS access on caregiver wellbeing in a rural context and (2) add additional empirical support to an emerging theoretical framework.",2025,"Child: care, health and development",10.1111/cch.70168,Brad Phillips; Isabella Haynes; Asa Charnik
41116998,Feasibility and Usability of a Post-Hospital Behavioral Intervention to Improve Mobility in Veterans.,"The strongest risk factor for readmission to the hospital is impaired physical function. We sought to determine the usability and feasibility of a post-hospital behavioral intervention to improve mobility in older adults with significant morbidity and functional impairment. We conducted a two-arm pragmatic pilot randomized trial of a behavioral economics-informed intervention to increase daily steps in Veterans, age 60 or older, receiving home health (HH) services post-discharge. The intervention group received a multicomponent behavioral economics-informed intervention, including daily step count goals, performance feedback, social incentives, and a pedometer. The control group received usual care, which included the use of a pedometer without additional interventions. Both groups wore an ActivPAL device to continuously monitor activity. Outcomes were measured at 60 days post-discharge. The primary outcomes were feasibility (enrollment and completion rates) and usability (device compliance and participant satisfaction). Secondary outcomes included changes in mean daily steps and hospital utilization. Differences in daily steps between the intervention and control group were examined using a linear mixed effects model. Sixteen out of the 37 consented Veterans completed the study (9 intervention, 7 control). All Veterans rated as very satisfied with wearing the pedometer, while 3 did not like wearing the ActivPAL. The pedometer data was more complete, with a missing step data rate of 5%, compared to 29% for the ActivPAL. The median (interquartile range, IQR) baseline step counts were 926 steps (2744) in the control arm and 1131 steps (2952) in the intervention arm. Both groups increased steps during the intervention; however, there was no significant difference between groups (",2025,"Inquiry : a journal of medical care organization, provision and financing",10.1177/00469580251384787,Jacqueline A Benson; Matthew Wilson; Aidan J Flynn; Julie Stutzbach; Kimberly J Waddell; Robert E Burke
41112639,Understanding older adults' adoption of smart product-service systems for medication management in China: an extended UTAUT model approach.,"The rapid aging of China's population is intensifying the burden of chronic disease management and driving a shift toward home-based care supported by Smart Product-Service Systems (SPSS), such as smart pillboxes and medication management applications. However, the success of these technologies largely depends on their acceptance and use by older adults. This study aims to explore the behavioral factors influencing the adoption of SPSS for medication management among older adult users in China, using an extended Unified Theory of Acceptance and Use of Technology model. To better capture the complex interactions between the service delivery environment and users' personal capabilities and psychological states, the model incorporates three additional constructs: Self-Efficacy, Health Consciousness, and Medical Service Satisfaction. Structural Equation Modeling based on Partial Least Squares was employed to validate the model using empirical data collected from older adult respondents in China. The results show that Performance Expectancy, Effort Expectancy, Social Influence, Self-Efficacy, Health Consciousness, and Medical Service Satisfaction all significantly influence behavioral intention, whereas Facilitating Conditions did not demonstrate a significant effect. These findings highlight that, within the Chinese cultural context, family support and intrinsic health motivation are more critical than external infrastructure in shaping technology adoption. This study contributes to a deeper theoretical understanding of health technology adoption among older adults and offers practical insights for SPSS developers. It underscores the importance of culturally adapted and user-friendly smart systems to improve medication adherence and health outcomes in aging societies.",2025,Frontiers in public health,10.3389/fpubh.2025.1657473,Ruochen Fu; Xiaofei Ma
41108507,Eliciting Patient Preferences for the Hospital at Home Programme in Singapore; A Discrete Choice Experiment.,"Hospital overcrowding in Singapore has reached a critical level, primarily owing to an ageing population and an increased demand for medical services. Alternative care models such as hospital-at-home (H@H) programmes have been introduced to address this issue, utilising telehealth and home-based care. We conducted a choice experiment to determine the most preferred characteristics of a hospital-at-home programme in Singapore.",2025,The patient,10.1007/s40271-025-00780-4,Sanjeewa Kularatna; Low Lian Leng; Michelle Tan Woei Jen; Tang Woon Hoe; Tan Wee Boon; Lai Yi Feng; Nicholas Graves; Sameera Senanayake
41107599,"Patient-, care partner-, and clinician-proposed solutions to address the time toxicity of cancer care.","As the concept of time toxicity has gained traction in the oncology community, work has largely focused on mapping and measuring time burdens. This qualitative study sought to elicit perspectives from people with lived or professional experience with cancer care on strategies to decrease the time burden of oncology care.",2025,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-025-09954-0,Whitney V Johnson; Sai S Valisekka; Obafemi O Ogunleye; Samuel X Stevens; Manju George; Allison Breininger; Michael Anne Kyle; Christopher M Booth; Timothy P Hanna; Rachel I Vogel; Helen M Parsons; Anne H Blaes; Arjun Gupta
41106427,Comparing Post-Acute Care Outcomes Between Home Health Care and Skilled Nursing Facilities: A Scoping Review.,"Skilled nursing facilities (SNFs) and home health care (HHC) are 2 primary settings for post-acute care (PAC). There is growing interest in shifting care from SNFs to lower-cost home-based care, which may also be preferred by patients and families due to a more patient-centered approach.",2025,Journal of the American Medical Directors Association,10.1016/j.jamda.2025.105926,Fangli Geng; Kailin Xu; Yuchen Liu; Olivia I Okereke; Sandra Shi
41104799,Parenting Process in Paediatric Palliative Care for Children With Cancer During Hospitalisation at Home: A Qualitative Study of the Maternal Experience.,"Paediatric palliative care (PPC) addresses the unmet needs of children with life-limiting conditions and their families. In France, PPC for children with cancer is regularly offered in hospital or the home setting, with families often stating a preference for home care. However, hospitalisation at home (HaH) poses significant parenting challenges for mothers, particularly in terms of emotional support, decision-making, and day-to-day care management.",2025,Scandinavian journal of caring sciences,10.1111/scs.70107,Voskan Kirakosyan; Matthieu Plichart; Fatima Laradji; Marie-Frédérique Bacqué
41101957,Examining the implementation of home-based palliative care for patients with end-stage liver disease (HoPE): a protocol for a feasibility study.,"Cirrhosis is a major cause of morbidity and mortality. Patients with decompensated cirrhosis, or end-stage liver disease (ESLD), have a high symptom burden and an increased mortality risk. Yet, the uptake of palliative care in patients with ESLD remains low and variable. Despite robust evidence of the value of home palliative care in other advanced diseases, this has not been well studied in patients with ESLD. Hence, the primary aim of this study is to explore the implementation, feasibility and acceptability of home palliative care in patients with ESLD and healthcare professionals. We also aim to describe its impact on the quality of life (QoL), mood, symptom burden, caregiver burden and healthcare utilisation of patients with ESLD.",2025,BMJ open,10.1136/bmjopen-2025-103784,Chung Yau Nah; WanFen Yip; Kalaiyarasi Kaliyaperumal; Sek Hwee Yung; Siew Chin Chia; Allyn Hum
41100338,Consensus Recommendations on Home Maintenance Nebulization with Focus on Obstructive Airway Diseases: An Update on Best Practices and Future Directions.,Asthma and chronic obstructive pulmonary disease (COPD) are obstructive airway diseases (OADs) that contribute significantly to the burden on healthcare systems in low- and middle-income countries like India.,2025,The Journal of the Association of Physicians of India,10.59556/japi.73.1195,Randeep Guleria; Sundeep Salvi; Pranav Ish; Agam C Vora; Aloke Ghoshal; Amit A Saraf; Anshuman Mukhopadhyay; Ashok K Taneja; Devendra P Singh; Debraj Jash; Girish Mathur; K Satish; Kamlesh Tewary; Mangesh Tiwaskar; Milind Y Nadkar; Nitin Abhyankar; R K Singal; Raja Dhar; Venkata Nagarjuna Maturu; Rm Pl Ramanathan
41099182,Role and Expectations of Family Caregivers in Hospital at Home in the US and Canada.,,2025,Journal of the American Geriatrics Society,10.1111/jgs.70167,David M Levine; Linda V DeCherrie; Annabel Steiner; Gabrielle Schiller; Albert Siu; Bruce Leff
